country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,Cluster,Development,DBSCAN,Need_Index
Kuwait,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500,0,Developed,-1,-0.33066108400813116
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790,10.0,68.5,3.1,880,1,Developing,0,-0.043122233405108096
Lao,78.9,35.4,4.47,49.3,3980,9.2,63.8,3.15,1140,2,Under-Developed,0,0.04068959568035048
Latvia,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300,1,Developing,0,-0.16708005683182203
Lebanon,10.3,35.8,7.03,60.2,16300,0.238,79.8,1.61,8860,1,Developing,0,-0.17063046273007523
Lesotho,99.7,39.4,11.1,101.0,2380,4.15,46.5,3.3,1170,2,Under-Developed,-1,0.1277771029475158
Liberia,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327,2,Under-Developed,-1,0.10239457947218478
Libya,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100,1,Developing,-1,-0.17077912803109574
Lithuania,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000,1,Developing,0,-0.17461436291389418
Luxembourg,2.8,175.0,7.77,142.0,91700,3.62,81.3,1.63,105000,0,Developed,-1,-0.5207729755264434
"Macedonia, FYR",10.4,39.8,7.09,58.1,11400,2.04,74.0,1.47,4540,1,Developing,0,-0.1374381512788092
Madagascar,62.2,25.0,3.77,43.0,1390,8.79,60.8,4.6,413,2,Under-Developed,0,0.05463774204684557
Malawi,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459,2,Under-Developed,0,0.13058724055850546
Malaysia,7.9,86.9,4.39,71.0,21100,7.27,74.5,2.15,9070,1,Developing,0,-0.15998587672882444
Maldives,13.2,77.6,6.33,65.4,10500,2.88,77.9,2.23,7100,1,Developing,0,-0.13597777902239677
Mali,137.0,22.8,4.98,35.1,1870,4.37,59.5,6.55,708,2,Under-Developed,0,0.19696339341576974
Malta,6.8,153.0,8.65,154.0,28300,3.83,80.3,1.36,21100,0,Developed,-1,-0.22864813766253267
Mauritania,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200,2,Under-Developed,0,0.08476857024809148
Mauritius,15.0,51.2,6.0,62.2,15900,1.13,73.4,1.57,8000,1,Developing,0,-0.14301618830540536
"Micronesia, Fed. Sts.",40.0,23.5,14.2,81.0,3340,3.8,65.4,3.46,2860,1,Developing,-1,-0.017967658361864633
Moldova,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630,1,Developing,-1,-0.09733057342158379
Mongolia,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650,1,Developing,-1,-0.06195203407049474
Montenegro,6.8,37.0,9.11,62.7,14000,1.6,76.4,1.77,6680,1,Developing,0,-0.1543755512031687
Morocco,33.5,32.2,5.2,43.0,6440,0.976,73.5,2.58,2830,1,Developing,0,-0.07147903790979798
Mozambique,101.0,31.5,5.21,46.2,918,7.64,54.5,5.56,419,2,Under-Developed,0,0.1460258314184871
Myanmar,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988,1,Developing,-1,-0.0002235491449101637
Namibia,56.0,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190,2,Under-Developed,0,0.012989908647488085
Nepal,47.0,9.58,5.25,36.4,1990,15.1,68.3,2.61,592,1,Developing,0,-0.022687783062928752
Netherlands,4.5,72.0,11.9,63.6,45500,0.848,80.7,1.79,50300,0,Developed,0,-0.316718630802022
New Zealand,6.2,30.3,10.1,28.0,32300,3.73,80.9,2.17,33700,0,Developed,0,-0.2506156824428223
Niger,123.0,22.2,5.16,49.1,814,2.55,58.8,7.49,348,2,Under-Developed,0,0.19622255745578226
Nigeria,130.0,25.3,5.07,17.4,5150,104.0,60.5,5.84,2330,2,Under-Developed,-1,0.1628936695606526
Norway,3.2,39.7,9.48,28.5,62300,5.95,81.0,1.95,87800,0,Developed,-1,-0.42233184104714183
Oman,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300,1,Developing,-1,-0.21550544212763778
Pakistan,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040,2,Under-Developed,0,0.06616014869455672
Panama,19.7,70.0,8.1,78.2,15400,2.59,77.8,2.62,8080,1,Developing,0,-0.13175559233313522
Paraguay,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230,1,Developing,0,-0.08708947150298064
Peru,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020,1,Developing,0,-0.11566225168885493
Philippines,31.9,34.8,3.61,36.6,5600,4.22,69.0,3.16,2130,1,Developing,0,-0.04832956889425533
Poland,6.0,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600,1,Developing,0,-0.18790380654764943
Portugal,3.9,29.9,11.0,37.4,27200,0.643,79.8,1.39,22500,0,Developed,0,-0.2313930747745229
Qatar,9.0,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300,0,Developed,-1,-0.5001370627448294
Romania,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230,1,Developing,0,-0.15295794690014886
Russia,10.0,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700,1,Developing,0,-0.15751767321319987
Rwanda,63.6,12.0,10.5,30.0,1350,2.61,64.6,4.51,563,2,Under-Developed,-1,0.043814418214472385
Samoa,18.9,29.2,6.47,53.1,5400,1.72,71.5,4.34,3450,1,Developing,0,-0.05821924398663938
Saudi Arabia,15.7,49.6,4.29,33.0,45400,17.2,75.1,2.96,19300,1,Developing,-1,-0.20595921016993612
Senegal,66.8,24.9,5.66,40.3,2180,1.85,64.0,5.06,1000,2,Under-Developed,0,0.05643610886988403
Serbia,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410,1,Developing,0,-0.14897636527354052
Seychelles,14.4,93.8,3.4,108.0,20400,-4.21,73.4,2.17,10800,1,Developing,-1,-0.14881795996921052
Sierra Leone,160.0,16.8,13.1,34.5,1220,17.2,55.0,5.2,399,2,Under-Developed,-1,0.22447285052714833
Singapore,2.8,200.0,3.96,174.0,72100,-0.046,82.7,1.15,46600,0,Developed,-1,-0.38161068922999075
Slovak Republic,7.0,76.3,8.79,77.8,25200,0.485,75.5,1.43,16600,0,Developed,0,-0.19823005875631539
Slovenia,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400,0,Developed,0,-0.23342153243305122
Solomon Islands,28.1,49.3,8.55,81.2,1780,6.81,61.7,4.24,1290,1,Developing,0,-0.005966449424287125
South Africa,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280,2,Under-Developed,-1,-0.0046824885822390055
South Korea,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100,0,Developed,0,-0.2401799439031427
Spain,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700,0,Developed,0,-0.26437298773859474
Sri Lanka,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810,1,Developing,0,-0.11692862380061447
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920,4.44,71.6,2.07,6230,1,Developing,0,-0.10608167363747963
Sudan,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480,2,Under-Developed,0,0.0579438957577699
Suriname,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300,1,Developing,0,-0.10272526688970432
Sweden,3.0,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100,0,Developed,0,-0.3164901688921358
Switzerland,4.5,64.0,11.5,53.3,55500,0.317,82.2,1.52,74600,0,Developed,-1,-0.39190086012918524
Tajikistan,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738,1,Developing,0,-0.004971187054856725
Tanzania,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702,2,Under-Developed,0,0.084376028508796
Thailand,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080,1,Developing,0,-0.14254748979132253
Timor-Leste,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600,2,Under-Developed,-1,0.043450009477905574
Togo,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488,2,Under-Developed,0,0.10636989478548067
Tonga,17.4,12.4,5.07,60.3,4980,3.68,69.9,3.91,3550,1,Developing,0,-0.06180548133425639
Tunisia,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140,1,Developing,0,-0.12245287997651913
Turkey,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700,1,Developing,0,-0.15145555022692056
Turkmenistan,62.0,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440,1,Developing,0,-0.019449376660223696
Uganda,81.0,17.1,9.01,28.6,1540,10.6,56.8,6.15,595,2,Under-Developed,0,0.11772972866164413
Ukraine,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970,1,Developing,0,-0.11516959159901868
United Arab Emirates,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000,0,Developed,-1,-0.2921538170058537
United Kingdom,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900,0,Developed,0,-0.2720091050070777
United States,7.3,12.4,17.9,15.8,49400,1.22,78.7,1.93,48400,0,Developed,-1,-0.30871484841280405
Uruguay,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900,1,Developing,0,-0.1601309491855175
Uzbekistan,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380,1,Developing,0,-0.05008008401934387
Vanuatu,29.2,46.6,5.25,52.7,2950,2.62,63.0,3.5,2970,1,Developing,0,-0.025436418151005682
Venezuela,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500,1,Developing,-1,-0.1433757424288351
Vietnam,23.3,72.0,6.84,80.2,4490,12.1,73.1,1.95,1310,1,Developing,0,-0.08830955945385366
Yemen,56.3,30.0,5.18,34.4,4480,23.6,67.5,4.67,1310,2,Under-Developed,0,0.019379430808600794
Zambia,83.1,37.0,5.89,30.9,3280,14.0,52.0,5.4,1460,2,Under-Developed,0,0.11802015570672068
